gmlid,building_footprint_geometry_wkt
DEHE06200002pElI,"POLYGON((8.56123533509937 50.2021909776226,8.56119792741892 50.202132322776,8.56119534289283 50.2021330055363,8.56114786524063 50.2020585465328,8.56115044976336 50.2020578637735,8.56111294569189 50.2019990466457,8.56121243346239 50.2019729986757,8.5612046014016 50.2019606835843,8.56135785791031 50.201920457483,8.56136573121524 50.2019328626577,8.56169906930819 50.2018455948063,8.56166557979416 50.2017936012964,8.56187024227108 50.201740023808,8.56188590658596 50.2017646628958,8.56189869755177 50.2017848032472,8.56190811831165 50.2017996155614,8.56191071673906 50.2017989418314,8.56196102485503 50.2018780969596,8.56195842642401 50.2018787706907,8.56199615077573 50.2019381190095,8.56194544487505 50.2019514095269,8.56195338765573 50.2019638958677,8.56179990632641 50.2020042298313,8.56179190827306 50.2019916623276,8.56141024983804 50.2020917170866,8.5614394239513 50.2021375426286,8.56123533509937 50.2021909776226))"
DEHE06200000yoAt,"POLYGON((8.56494603392849 50.1999839879454,8.56494477537154 50.199983713419,8.5649189519519 50.200036113462,8.56466404632975 50.1999780840275,8.56465079287706 50.2000040983656,8.56463108796215 50.1999999683286,8.56441071234229 50.1999537416638,8.56441727935165 50.199940374533,8.56443282143132 50.1999092333478,8.56432487934607 50.1998857235798,8.56430671393734 50.1998817971241,8.56429986237466 50.1998802424859,8.56421959457825 50.1998627633059,8.56421219259549 50.1998770356665,8.56420534531406 50.1998904017346,8.56393102530798 50.1998334580631,8.56393800293641 50.199819633817,8.56395255631667 50.1997909263011,8.56394738202076 50.1997898276264,8.56395751254738 50.1997698184916,8.56396394538702 50.1997711917028,8.56397163502288 50.1997561109963,8.56407172202016 50.1995620318578,8.56411801117563 50.1995718198915,8.56416421079056 50.1994821812282,8.56423901351901 50.1994981110066,8.56423117160672 50.1995130022907,8.56430127748892 50.1995277272319,8.56445864874603 50.1995607848685,8.56450042244377 50.1994785853316,8.56450940887892 50.1994610901205,8.56449654406977 50.1994582538233,8.56451036871529 50.1994325923992,8.56452393734358 50.1994350715814,8.56453576186641 50.1994121007942,8.56454448932639 50.1993922662243,8.56483587743678 50.1994534095272,8.56482574897983 50.1994732388711,8.56481804483002 50.1994884095182,8.56490739404418 50.1995071724325,8.56492098575034 50.1995102002758,8.56500051896451 50.1995267588558,8.56489342167994 50.1997387101778,8.5650788588197 50.1997764499147,8.56501771465908 50.1998948940529,8.56498435427658 50.1999594974454,8.56496057854762 50.1999546417128,8.56494603392849 50.1999839879454),(8.56482073632616 50.1999244384937,8.56485539061229 50.1998562424782,8.56475527179359 50.1998352806715,8.56472061738037 50.1999034766571,8.56482073632616 50.1999244384937),(8.56444833512812 50.1996810201486,8.56437919543251 50.1997956655824,8.56456739542896 50.1998377245195,8.56463035400184 50.1997217157382,8.56444833512812 50.1996810201486),(8.56420066010442 50.1998047992645,8.56424682213268 50.1997192975738,8.5641160891108 50.1996905756687,8.56407049150624 50.1997771586806,8.56420066010442 50.1998047992645),(8.56468707786546 50.1996133282815,8.56473154349882 50.1995278200405,8.56460095664644 50.1994999986063,8.56455649399689 50.1995851560513,8.56468707786546 50.1996133282815))"
DEHE06200000yobv,"POLYGON((8.58242478200923 50.1917489138173,8.58253369775591 50.1917849926333,8.58254474462112 50.191771271818,8.58260087142764 50.1917899107693,8.58258969700488 50.1918038020137,8.58277775838321 50.1918664268241,8.58239751638358 50.1923372260041,8.58219924291158 50.192271146217,8.58218706420371 50.1922861130658,8.58214099668472 50.1922705769826,8.58215315990281 50.1922557809651,8.58204607391978 50.1922202390128,8.58242478200923 50.1917489138173))"
DEHE06200000ymIS,"POLYGON((8.59024052626972 50.193135552721,8.59025151207392 50.1931451158953,8.59031956665681 50.193112888302,8.59040353168954 50.1931859891218,8.59030158941698 50.1932343760314,8.59031144819927 50.1932430358461,8.59029120649236 50.1932525878233,8.59029287606325 50.1932539427802,8.59028499853872 50.1932576923928,8.59028332973752 50.1932562475006,8.59026294715687 50.193265888914,8.59026447586487 50.1932673333125,8.59026267497908 50.1932682263405,8.59037719637272 50.1933674180096,8.59032009859796 50.193394557811,8.59033081121617 50.1934033105726,8.59024237040985 50.1934455483136,8.59015867850598 50.1933732487919,8.5900217340389 50.19343860018,8.59012197373231 50.1935237203746,8.59006404822656 50.1935509560613,8.59007446347873 50.1935600765425,8.58998702313905 50.1936015801277,8.58987788595048 50.1935068050497,8.58974161933428 50.1935714389963,8.589866050496 50.1936798398274,8.58980840415097 50.1937071573159,8.58981869415083 50.1937161784459,8.5897312259794 50.1937576007955,8.58959650428346 50.1936402596147,8.58953996920251 50.1936670412682,8.58943262600419 50.1935738999871,8.58957353463433 50.1935071242912,8.58939084331946 50.1933490963503,8.58953611118773 50.1932803574701,8.58971768189812 50.1934383902206,8.58985505259201 50.1933740300125,8.5896729390846 50.1932155548622,8.58973356705376 50.193186826949,8.58975679129114 50.1931758286059,8.58981820691414 50.1931467256905,8.59000016731109 50.1933051101364,8.59013683985905 50.193240387379,8.58995487917639 50.1930820121383,8.59010000525731 50.1930132810449,8.59024052626972 50.193135552721))"
DEHE06200000yq0r,"POLYGON((8.58410494990942 50.2029776510371,8.58412396947934 50.202964228448,8.58418288702106 50.2029228970545,8.58420583928455 50.2029067993864,8.58429401194552 50.2029142019976,8.58432760355454 50.2029170203164,8.58432980136114 50.2029059748238,8.58446584715152 50.202917496838,8.58446352631187 50.2029281911357,8.58446002059671 50.202944628221,8.58457178224022 50.202954597269,8.58457533866408 50.2029549157737,8.58457498879104 50.2029564794404,8.58457271344478 50.2029667781765,8.58454952188136 50.2030734154425,8.58443043738968 50.2030627546418,8.58441282224892 50.2030742036729,8.58442494644723 50.2030818917526,8.58439452326002 50.2031014703136,8.58438379324892 50.2030945966582,8.58436279642275 50.2031081920918,8.58439103766372 50.2031801354297,8.58423463287643 50.2032054779298,8.58421331718644 50.2032089901683,8.58418687655278 50.2031411094261,8.58416498709219 50.2031445386582,8.58414591790419 50.2031475372855,8.58411360299506 50.2030622775051,8.584112644807 50.2030596658791,8.58413241370977 50.2030567686934,8.58412380243755 50.2030318340938,8.58410494990942 50.2029776510371))"
DEHE06200001OCFm,"POLYGON((8.58853937092815 50.201566900396,8.58812211653171 50.2012266531856,8.58810287860318 50.2012363522315,8.58798807357352 50.2012938291451,8.58746695607404 50.2015566040225,8.58739967186837 50.2015904964984,8.58731956197014 50.20152414366,8.58790699887245 50.2012272034739,8.58802134323621 50.2011695181493,8.58852224881529 50.2009164544294,8.58871880055986 50.2010771947275,8.58875318112571 50.2010598235212,8.58880864449108 50.2011050427002,8.5887744612339 50.2011222797145,8.58927587325337 50.2015314446728,8.58913660961683 50.2016012926378,8.58896104966908 50.2014578953924,8.58882295046139 50.2015275492389,8.5889988713877 50.2016713167134,8.58877477203244 50.2017841601678,8.58852888153169 50.2015841672828,8.58852109287445 50.2015774033565,8.58853937092815 50.201566900396))"
DEHE06200000ylgO,"POLYGON((8.58202934911443 50.2030311085668,8.5819900491117 50.2030321093901,8.58198012408738 50.2030389988923,8.58200029448182 50.2030511141331,8.58185417236708 50.2031520381775,8.58183995176909 50.2031437666821,8.581778456236 50.2031864007006,8.58165423335225 50.203114371983,8.58169358675815 50.2030864260998,8.58163429180452 50.2030520362369,8.58174398279503 50.2029766135981,8.58176125200498 50.2029647320241,8.58174152420082 50.2029532928684,8.58170872441444 50.2029336402953,8.58167512764888 50.2029346345634,8.58161906206466 50.2029011287157,8.58161726227918 50.2028793932607,8.58155809995632 50.2028442933263,8.58150675721802 50.2028652258002,8.58149813230474 50.2028564347909,8.58141682287696 50.202889481828,8.58142638313097 50.2028986719393,8.58136131691841 50.2029442158536,8.58129398192932 50.2029047063656,8.58121085330395 50.2028157370733,8.5812545026418 50.2027980777197,8.58124283605521 50.2027861998556,8.58146471046811 50.2026964139701,8.58146776598467 50.2026995278315,8.5815470316732 50.2026678044769,8.58154399024413 50.2026646816745,8.58158960690125 50.2026463547469,8.58159705071984 50.2026507975002,8.58167484775614 50.2025963055096,8.58167386492566 50.2025885133565,8.58169985648654 50.2025710510763,8.58173736108689 50.2025702147699,8.58176486538723 50.2025864935938,8.5817658739795 50.2026105825701,8.58183165958445 50.2026494026827,8.58184073793477 50.2026431846791,8.58195030379376 50.2027086849448,8.58194142247782 50.2027148047343,8.58196601153029 50.2027295710588,8.58190984643241 50.2027684199587,8.58191539508059 50.2028534761217,8.58192959978687 50.2028619544081,8.58189980959512 50.2028827577494,8.58192441210432 50.202897596081,8.58195346312291 50.2029148967219,8.58192280062269 50.2029361016504,8.58198695272442 50.2029743042173,8.58202541289508 50.2029731924484,8.58205293114399 50.2029895162217,8.58205461451263 50.2030133737827,8.58202934911443 50.2030311085668))"
DEHE06200000ykRx,"POLYGON((8.58314993489085 50.1991454221696,8.5831832373881 50.199166650067,8.58321878823931 50.1991436815617,8.58323407677385 50.1991337892781,8.58327585566537 50.1991067958925,8.58331061750696 50.1990843191873,8.58335248100421 50.1990572541272,8.58345872461573 50.1989885807949,8.58360752165716 50.1988923860023,8.58345855035092 50.1987976690656,8.58337112711934 50.1987420707915,8.58329315147487 50.1986924782112,8.58321966486885 50.1987404482932,8.58323925627371 50.1987529120102,8.58313085565605 50.1988231333299,8.58311092971234 50.1988104705311,8.58306263987843 50.1988418114734,8.58311245499286 50.198873441504,8.58300443346477 50.1989435201645,8.582954618271 50.1989118990815,8.5828507402541 50.1989791684235,8.58290063896595 50.199010852807,8.58279233479525 50.1990811371117,8.58275490825114 50.1990572591117,8.58274266025793 50.1990494534871,8.58271670505455 50.1990662236177,8.58256734714262 50.1989709915054,8.58272778658788 50.1988670780292,8.58276761164001 50.198892250764,8.58284457914109 50.1988420540139,8.58280474007903 50.1988168812551,8.58291363381234 50.1987464011895,8.58295317864477 50.1987715728551,8.58300133799381 50.1987407351416,8.5829515226989 50.1987091500307,8.58306012229135 50.1986386058147,8.58310996505854 50.1986702539345,8.58318740844735 50.1986200316824,8.58313757984832 50.1985883656588,8.58324637504397 50.1985178219696,8.58325392725375 50.1985226337546,8.58326379080567 50.1985162385772,8.58329318463668 50.198516442939,8.58330065341235 50.1985211824713,8.58331089744172 50.1985145368286,8.58335479018713 50.1985424220885,8.5833964640274 50.198569292071,8.58356353579604 50.1986754331245,8.58360572999254 50.1987021070329,8.5837113927866 50.1987693724705,8.58375358495866 50.1987962981433,8.58388415027734 50.1988792298763,8.58387898051518 50.1988824041544,8.58393751906294 50.1989195872589,8.58387978885094 50.198957046482,8.58388486092603 50.1989602754299,8.58380099329346 50.1990145493154,8.58375921493416 50.1990415249042,8.58369380488563 50.1990839660588,8.58365220518469 50.1991113289818,8.58354610356407 50.1991797871477,8.58350452114942 50.199206754353,8.58348756526113 50.1992182595761,8.58343767995492 50.1991865754945,8.58342041847648 50.1991977738235,8.58337901905819 50.1992246337146,8.58328879414445 50.1992831654742,8.58323192774372 50.1992470493101,8.58312899188457 50.1993138905754,8.58293520720906 50.1991907267149,8.58305592239263 50.1991127611563,8.58312870009278 50.1991591514409,8.58314993489085 50.1991454221696))"
DEHE062000027333,"POLYGON((8.58604567033829 50.1913199977643,8.58604115583718 50.1913155477361,8.58601395747825 50.1912887662221,8.58601256834887 50.1912874032086,8.58595417446767 50.1913121439051,8.58580593027529 50.1911679395559,8.58580165584696 50.1911697500575,8.58577751105782 50.1911462800978,8.58584508717311 50.1911175609896,8.585803537285 50.191076949764,8.58683564806071 50.1906394971004,8.58685070921571 50.1906539317464,8.58691787565279 50.1906254533888,8.58694204852551 50.1906489501945,8.58693283857581 50.1906529017013,8.58710824441887 50.1908235170132,8.58704948837531 50.1908481490484,8.58708784266461 50.1908857895118,8.58605092139327 50.1913251339454,8.58604567033829 50.1913199977643))"
DEHE06200000ymBH,"POLYGON((8.58654568330369 50.191446720149,8.58655969879965 50.1913681102754,8.58668888798966 50.1913782292921,8.58669198570294 50.1913601807674,8.58678759573883 50.191366960429,8.58678448405238 50.1913850089065,8.58707056377679 50.1914046702245,8.58710082966002 50.1914072151148,8.587112925206 50.1913821923896,8.58708231976103 50.1913556688318,8.58708130433472 50.1913532141243,8.58708054110645 50.1913507220414,8.58708003334267 50.1913482032548,8.58707978321751 50.1913456685396,8.58707979180112 50.1913431287506,8.58708005905692 50.191340594757,8.58708058384089 50.1913380774072,8.58708136390658 50.1913355874745,8.58708239591489 50.1913331356192,8.58708367544825 50.1913307323348,8.58708519702981 50.1913283879094,8.58708695414615 50.1913261123765,8.58708893927619 50.191323915481,8.58709114392237 50.191321806621,8.58709355864781 50.1913197948269,8.58709617311638 50.1913178887098,8.58709897613684 50.1913160964298,8.58710195571098 50.191314425655,8.58710509908454 50.1913128835396,8.58710839280243 50.1913114766824,8.58711182276613 50.1913102111112,8.58711558834727 50.1913090240619,8.58711947304123 50.1913080074421,8.58712345815961 50.1913071661484,8.58712752452977 50.1913065042247,8.58713165258902 50.1913060248554,8.58713582247809 50.1913057303479,8.58714001413582 50.1913056221189,8.58714420739666 50.1913057006889,8.58714838208736 50.1913059656792,8.58715251812382 50.1913064158158,8.5871565956083 50.1913070489328,8.58716059492433 50.1913078619865,8.58716449683159 50.1913088510616,8.58716828255874 50.1913100114019,8.58717193389252 50.1913113374243,8.58717543326713 50.1913128227503,8.58717876384778 50.1913144602331,8.58720775828858 50.1913377312806,8.58724599239485 50.1913454938663,8.58725430966729 50.191326474553,8.58733574308483 50.1911494960891,8.58730219039595 50.1911430992323,8.5873360223872 50.1910699469406,8.58736957510696 50.1910763347941,8.58740176042726 50.1910105515482,8.58751988748533 50.1910330058204,8.58761897948932 50.1910518398565,8.58760336094008 50.191085816946,8.5875886133183 50.1911178904397,8.58761574666433 50.1911230322773,8.58758209663257 50.1911962482519,8.58755494924008 50.1911911063567,8.58752431161288 50.1912577495487,8.58743167005409 50.1914592683864,8.58740613746454 50.1914699342929,8.58761655770495 50.1916746337314,8.58758023882978 50.1916900730693,8.58760127321238 50.191710464725,8.58753664294452 50.1917403824915,8.58751496867785 50.1917178390348,8.58742701849641 50.1917552377236,8.58725218990119 50.1915853894488,8.58721630476431 50.19155050992,8.58719146036976 50.1915609623733,8.58675872542345 50.1915289889238,8.58675548771379 50.191547027958,8.58663770340831 50.1915383166531,8.58664092707529 50.1915202865659,8.58653396503694 50.191512378134,8.58654568330369 50.191446720149))"
