gmlid,shape
DEHE06200001bpIU,L-Shape
DEHE06200001ceEm,Rectangle
DEHE06200001bAvc,L-Shape
DEHE06200001bAkY,T-Shape
DEHE06200002v2jj,Rectangle
DEHE06200001bMmD,Rectangle
DEHE06200002tZju,Rectangle
DEHE06200002uDVP,Rectangle
DEHE06200001bN9O,Rectangle
DEHE06200001bLWW,Rectangle
DEHE06200001bMjy,Rectangle
DEHE06200001bAYf,Rectangle
DEHE06200001bApU,Rectangle
DEHE06200001bMol,Rectangle
DEHE06200001bNkP,Rectangle
DEHE06200001bAsb,Rectangle
DEHE06200001bAZR,Rectangle
DEHE06200001bMeZ,T-Shape
DEHE06200001hmqa,L-Shape
DEHE06200002rxWz,Rectangle
DEHE06200001hpIA,Rectangle
DEHE06200001gODs,Rectangle
DEHE06200001rudw,Rectangle
DEHE06200002dudz,Rectangle
DEHE06200001hsKR,Unknown
DEHE06200001UY37,Unknown
DEHE06200001Uxdy,T-Shape
DEHE06200001ogHS,Rectangle
DEHE06200001ogHU,Rectangle
DEHE06200001ruf2,L-Shape
DEHE06200002ygnW,Unknown
DEHE06200001jSmG,Rectangle
DEHE06200001nCwV,Rectangle
DEHE06200001jTJr,Rectangle
DEHE06200001jTVR,Rectangle
DEHE06200002tEcB,Rectangle
DEHE06200001FH7V,Unknown
DEHE06200001qohU,Rectangle
DEHE06200001FH7P,Unknown
DEHE06200002cYS9,Rectangle
DEHE06200002sRi1,Rectangle
DEHE06200001C2yH,Unknown
DEHE06200002lsly,T-Shape
DEHE06200001qoua,L-Shape
DEHE06200001qoi1,Rectangle
DEHE06200001qo5B,Rectangle
DEHE06200002rzF0,Unknown
DEHE06200001qo6A,Rectangle
DEHE06200001qo66,Rectangle
DEHE06200001qo6D,Rectangle
DEHE06200001qo7h,Rectangle
DEHE06200001qo7e,Rectangle
DEHE06200001ybXf,Unknown
DEHE06200001qorA,L-Shape
DEHE06200001qo8r,Rectangle
DEHE06200001qo6I,L-Shape
DEHE06200001pQcG,Rectangle
DEHE06200001pRHP,Rectangle
DEHE06200001idw9,T-Shape
